Class,Rank ( B ),Features ( C ),% total features,Feature area (sq. µm),% total area
AlMgO,2,0,0,0,0
AlO,2,0,0,0,0
AlOTiC,2,0,0,0,0
CrO,2,0,0,0,0
NbB,2,0,0,0,0
SiC,2,0,0,0,0
SiO,2,43,52.4,361,0.01
TiB,2,0,0,0,0
TiC,2,0,0,0,0
TiO,2,0,0,0,0
TiSn,2,0,0,0,0
TiV,2,0,0,0,0
WC,2,0,0,0,0
ZrC,2,0,0,0,0
ZrO,2,0,0,0,0
Nd based,2,0,0,0,0
Sm based,2,0,0,0,0
Sr based,2,0,0,0,0
SST300s,2,0,0,0,0
SST400s,2,3,3.7,3.31,0.0000958
Ag based,2,0,0,0,0
Al based,2,0,0,0,0
Au based,2,0,0,0,0
Ca based,2,4,4.9,5.87,0.00017
Cu based,2,0,0,0,0
Fe based,2,3,3.7,2.37,0.0000687
FeO,2,1,1.2,0.25,0.00000723
AlFeO,2,0,0,0,0
MnCrS,2,0,0,0,0
Ni based,2,0,0,0,0
NiP,2,0,0,0,0
Pt based,2,0,0,0,0
Sb based,2,0,0,0,0
Sn based,2,0,0,0,0
SnPb,2,0,0,0,0
Zn based,2,0,0,0,0
AlNiO,2,0,0,0,0
AlSiO,2,1,1.2,0.187,0.00000542
Cl based,2,0,0,0,0
FeMgSiO,2,0,0,0,0
MgCaO,2,0,0,0,0
MgSiO,2,1,1.2,0.25,0.00000723
S based,2,0,0,0,0
F based,2,2,2.4,0.624,0.0000181
AlSi (FeCrCuZnMn),2,0,0,0,0
NiFe,2,0,0,0,0
Na based,2,0,0,0,0
K based,2,0,0,0,0
Anodised Al,2,0,0,0,0
ZnPFe,2,0,0,0,0
CrCoNiP (disc material),2,0,0,0,0
NiPCr,2,0,0,0,0
NiPCrFe,2,0,0,0,0
CuZn,2,0,0,0,0
others,2,8,9.8,55.9,0.00162
PZT,2,0,0,0,0
Pb based,2,0,0,0,0
FeSiO,2,0,0,0,0
