"Class","Rank","Features","% total features","Feature area (sq. µm)","% total area"
AlMgO,2,0,0,0,0
AlO,2,0,0,0,0
AlOTiC,2,0,0,0,0
CrO,2,2,0.8,1.68,0.0000456
NbB,2,0,0,0,0
SiC,2,2,0.8,7.92,0.000214
SiO,2,14,5.9,120,0.00326
TiB,2,0,0,0,0
TiC,2,0,0,0,0
TiO,2,0,0,0,0
TiSn,2,0,0,0,0
TiV,2,0,0,0,0
WC,2,0,0,0,0
ZrC,2,0,0,0,0
ZrO,2,0,0,0,0
Nd based,2,0,0,0,0
Sm based,2,0,0,0,0
Sr based,2,0,0,0,0
SST300s,2,19,8,10.4,0.000282
SST400s,2,9,3.8,3,0.000081
Ag based,2,0,0,0,0
Al based,2,0,0,0,0
Au based,2,0,0,0,0
Ca based,2,8,3.4,13.9,0.000375
Cu based,2,0,0,0,0
Fe based,2,7,2.9,9.05,0.000245
FeO,2,0,0,0,0
AlFeO,2,0,0,0,0
MnCrS,2,0,0,0,0
Ni based,2,0,0,0,0
NiP,2,1,0.4,0.437,0.0000118
Pt based,2,0,0,0,0
Sb based,2,0,0,0,0
Sn based,2,0,0,0,0
SnPb,2,0,0,0,0
Zn based,2,0,0,0,0
AlNiO,2,0,0,0,0
AlSiO,2,0,0,0,0
Cl based,2,0,0,0,0
FeMgSiO,2,0,0,0,0
MgCaO,2,0,0,0,0
MgSiO,2,1,0.4,31.6,0.000856
S based,2,1,0.4,1.31,0.0000355
F based,2,2,0.8,0.624,0.0000169
AlSi (FeCrCuZnMn),2,0,0,0,0
NiFe,2,0,0,0,0
Na based,2,0,0,0,0
K based,2,0,0,0,0
Anodised Al,2,0,0,0,0
ZnPFe,2,0,0,0,0
CrCoNiP (disc material),2,0,0,0,0
NiPCr,2,0,0,0,0
NiPCrFe,2,0,0,0,0
CuZn,2,0,0,0,0
others,2,22,9.2,505,0.014
PZT,2,0,0,0,0
Pb based,2,0,0,0,0
FeSiO,2,1,0.4,1.37,0.0000371
